seed,dimension,solution,termination,time
8,35,NaN,TIME_LIMIT,1800.0
8,40,NaN,TIME_LIMIT,1800.0
8,45,NaN,TIME_LIMIT,1800.0
8,50,NaN,TIME_LIMIT,1800.0
8,55,NaN,TIME_LIMIT,1800.0
8,60,NaN,TIME_LIMIT,1800.0
8,65,NaN,TIME_LIMIT,1800.0
8,70,NaN,TIME_LIMIT,1800.0
8,75,NaN,TIME_LIMIT,1800.0
8,80,NaN,TIME_LIMIT,1800.0
8,85,NaN,TIME_LIMIT,1800.0
8,90,NaN,TIME_LIMIT,1800.0
8,95,NaN,TIME_LIMIT,1800.0
8,100,NaN,TIME_LIMIT,1800.0
8,105,NaN,TIME_LIMIT,1800.0
8,110,NaN,TIME_LIMIT,1800.0
8,115,NaN,TIME_LIMIT,1800.0
8,120,NaN,TIME_LIMIT,1800.0
9,20,2.090749970166295,LOCALLY_SOLVED,207.06473207473755
9,25,NaN,TIME_LIMIT,1800.0
9,30,5.841953620863588,LOCALLY_SOLVED,878.3723640441895
9,35,NaN,TIME_LIMIT,1800.0
9,40,NaN,TIME_LIMIT,1800.0
9,45,NaN,TIME_LIMIT,1800.0
9,50,NaN,TIME_LIMIT,1800.0
9,55,NaN,TIME_LIMIT,1800.0
9,60,NaN,TIME_LIMIT,1800.0
9,65,NaN,TIME_LIMIT,1800.0
9,70,NaN,TIME_LIMIT,1800.0
9,75,NaN,TIME_LIMIT,1800.0
9,80,NaN,TIME_LIMIT,1800.0
9,85,NaN,TIME_LIMIT,1800.0
9,90,NaN,TIME_LIMIT,1800.0
9,95,NaN,TIME_LIMIT,1800.0
9,100,NaN,TIME_LIMIT,1800.0
9,105,NaN,TIME_LIMIT,1800.0
9,110,NaN,TIME_LIMIT,1800.0
9,115,NaN,TIME_LIMIT,1800.0
9,120,NaN,TIME_LIMIT,1800.0
10,20,2.2414157654206948,LOCALLY_SOLVED,202.13508701324463
10,25,NaN,TIME_LIMIT,1800.0
10,30,NaN,TIME_LIMIT,1800.0
10,35,NaN,TIME_LIMIT,1800.0
10,40,NaN,TIME_LIMIT,1800.0
10,45,NaN,TIME_LIMIT,1800.0
10,50,NaN,TIME_LIMIT,1800.0
10,55,NaN,TIME_LIMIT,1800.0
10,60,NaN,TIME_LIMIT,1800.0
10,65,NaN,TIME_LIMIT,1800.0
10,70,NaN,TIME_LIMIT,1800.0
10,75,NaN,TIME_LIMIT,1800.0
10,80,NaN,TIME_LIMIT,1800.0
10,85,NaN,TIME_LIMIT,1800.0
10,90,NaN,TIME_LIMIT,1800.0
10,95,NaN,TIME_LIMIT,1800.0
10,100,NaN,TIME_LIMIT,1800.0
10,105,NaN,TIME_LIMIT,1800.0
10,110,NaN,TIME_LIMIT,1800.0
10,115,NaN,TIME_LIMIT,1800.0
10,120,NaN,TIME_LIMIT,1800.0
